"","Date","Time","screen_name","text","hashtags"
"59","4/19/13",01:35:41,"SenBennetCO","It's going to take a grassroots effort to get this bill to the President's desk. Join us http://t.co/JbUrXp3k9C #latism","latism"
"60","4/19/13",01:26:09,"SenBennetCO","RT @SenatorDurbin: When I look at the 3 Dreamers who joined us today, I see courage, hard work&amp; determination http://t.co/ONIdPMlut8 #latism","latism"
"61","4/19/13",01:23:22,"SenBennetCO",".@JRobNYC Help build momentum by becoming a citizen co-sponsor of the bipartisan bill here: http://t.co/JbUrXp3k9C #latism","latism"
"62","4/19/13",01:20:38,"SenBennetCO","My office has an online petition and resource center to learn more about the bill. Join us: http://t.co/JbUrXp3k9C #latism","latism"
"63","4/19/13",01:18:44,"SenBennetCO",".@JRobNYC Working w/ bipartisan Group of 8 showed me how the Senate CAN work. http://t.co/GeL9XeknC8 #latism","latism"
"64","4/19/13",01:12:52,"SenBennetCO",".@chrisgolden Agree. New INVEST visas will help immigrant entrepreneurs who qualify to start new businesses in US. #latism","latism"
"65","4/19/13",01:05:33,"SenBennetCO","@ergeekgoddess Glad to be here and looking forward to working with all of you to fix our broken system. #latism","latism"
"66","4/19/13",00:54:17,"SenBennetCO","Thanks @SenJohnMcCain @SenatorDurbin @SenatorMenendez @GrahamBlog @ChuckSchumer @SenMarcoRubio @JeffFlake 4 your leadership #LATISM #latism","LATISM latism"
"67","4/19/13",00:47:20,"SenBennetCO","Appreciate engagement at #LATISM. I wouldn't have had much to add to #CIR discussion w/o input from people across my state, Colorado #latism","LATISM CIR latism"
"68","9/25/12",15:13:50,"SenBennetCO","Looking forward to it. RT @iTriage: We're excited to have @SenBennetCO at iTriage HQ this morning!",NA
"69","10/10/11",21:03:13,"SenBennetCO","Tomorrow Senate will introduce bill to fix #NoChildLeftBehind. Tell Washington to pass a bipartisan bill #EdReform: http://t.co/zU6B59iB","NoChildLeftBehind EdReform"
"70","1/14/11",21:40:56,"SenBennetCO","Talked about need to keep our promise to the next generation at an MLK luncheon today. Education is key to our kids’ future.",NA
"71","1/14/11",02:14:31,"SenBennetCO","Congratulations to John Walsh, as he takes office today as U.S. Attorney for Colorado.",NA
"72","1/12/11",22:01:09,"SenBennetCO","Had a great visit today at Lincoln Elementary School in Colorado Springs.",NA
"73","1/11/11",19:23:59,"SenBennetCO","Congrats to my former boss and CO’s newest Governor, @HickforCO. I look forward to working with his administration. #COGov","COGov"
"74","1/10/11",18:44:47,"SenBennetCO","My thoughts are with the families of the victims of Saturday's tragedy in AZ. Wishing Rep. Giffords and all the injured a strong recovery.",NA
"75","1/7/11",17:11:01,"SenBennetCO","Looking forward to getting back to Colorado classrooms. The best ideas never come from Washington. http://bit.ly/ht5uBF",NA
"76","1/6/11",22:51:13,"SenBennetCO","Check out my blog post on Colorado Pols about reforming the Senate to make sure we get things done. http://bit.ly/f4LA2M",NA
"77","1/6/11",21:41:37,"SenBennetCO","I look forward to getting to work to improve our schools. http://bit.ly/gb26cz",NA
"78","5/21/14",21:45:51,"MarkUdall","Great news: MT @DenverChannel Denver is No. 2 on list of best cities to start a career, @AuroraGov is in the top 20! http://t.co/GJBh96CdcH",NA
"79","5/21/14",20:44:39,"MarkUdall","Action on climate change can’t wait any longer. RT to #SoundTheAlarm4Climate &amp; join my push.","SoundTheAlarm4Climate"
"80","5/21/14",20:21:16,"MarkUdall","Mesa Verde is 1/30 landmarks threatened by #climatechange, per @UCSUSA. I’ll keep pushing Congress to #ActOnClimate: http://t.co/0F0l3vNOzy","climatechange ActOnClimate"
"81","5/21/14",19:37:26,"MarkUdall","All Coloradans need access to relevant news, weather &amp; emergency info. My #CONewsAct delivers for #Durango &amp; #Cortez:http://t.co/R6bfH6YsQh","CONewsAct Durango Cortez"
"82","5/21/14",16:53:36,"MarkUdall","Working w/ @AWEA CEO Tom Kiernan to keep #MadeInAmerica wind #energy thriving &amp; creating #COjobs. http://t.co/eM5z9XmE5Y","MadeInAmerica energy COjobs"
"83","5/21/14",16:11:43,"MarkUdall","Proud to stand w/ @AARPCO leaders &amp; ensure we protect seniors &amp; their earned benefits, #SocialSecurity &amp; #Medicare. http://t.co/Xq7gRMkZzi","SocialSecurity Medicare"
"84","5/21/14",15:51:23,"MarkUdall","#HealthyKidsOutdoorsAct will combat obesity, improve access to outdoor adventure. Proud to renew push w/ @RepRonKind: http://t.co/PrxCDIEjAL","HealthyKidsOutdoorsAct"
"85","5/21/14",14:16:29,"MarkUdall","Transparency essential for Americans to have faith in government. Proud to have secured public release of #drone memo:http://t.co/uZCIGdxZHp","drone"
"86","4/1/14",19:14:37,"MarkUdall","TODAY = last day to apply for 2014 @COCapConf in #DC. Don't miss out on this exciting opportunity: http://t.co/rfUOBOrz2H #COCapConf","DC COCapConf"
"87","4/1/14",17:44:04,"MarkUdall",".@SenateFinance inaction on wind #PTC a setback, but I'll keep fighting to extend this #COjob-creating policy: http://t.co/mK4TRvdIhd","PTC COjob"
"88","4/1/14",16:46:56,"MarkUdall","Community input = essential to determining next step for this idea. Please review the proposal &amp; weigh in: http://t.co/G1a1bFNAAZ",NA
"89","4/1/14",16:44:28,"MarkUdall","Proud to work w/ @RepTipton to unveil bipartisan community-driven proposal to redesignate #CO Natl Monument as a park:http://t.co/SORecFrQyT","CO"
"90","2/18/14",23:38:31,"MarkUdall","Huge congrats to bronze medalist @adeibold. Thrilled your time training in #Boulder helped you get on the podium for men's snowboard cross.","Boulder"
"91","2/18/14",23:24:16,"MarkUdall","#CO freeskiers @Aaron_Blunck, @TorinWallace &amp; alpine skier @MikaelaShiffrin dominated at #Sochi today. Wishing Lyman Currier speedy recov.","CO Sochi"
"92","2/18/14",22:29:55,"MarkUdall","Excited to host 4th #CO Capital Conference in #DC w/ @UCCS &amp; @ColoradoMesaU. Learn more &amp; apply: http://t.co/ZIbTDu61Yy","CO DC"
"93","2/18/14",17:35:28,"MarkUdall","Proud to lead #bipartisan discussion today &amp; ongoing push to make #COenergy a model for our nation. http://t.co/O4VwbbWNv7","bipartisan COenergy"
"94","9/14/13",22:34:31,"MarkUdall","Extent of #COflood damage seen from air w/ @HickforCO = staggering. Will keep fighting to help #CO recover. http://t.co/waxGlQgg9m","COflood CO"
"95","9/14/13",21:54:42,"MarkUdall","Just rescued 4 people stranded by #COflood along Big Thompson during flyover of area w/ @HickforCO &amp; members of congressional delegation.","COflood"
"96","9/14/13",20:16:56,"MarkUdall","About to fly over areas affected by #COflood w/ @HickforCO &amp; #bipartisan group from #CO congressional delegation. http://t.co/RRNlDo6O6B","COflood bipartisan CO"
"97","9/14/13",19:11:46,"MarkUdall","Was just briefed by @COEmergency on progress made on #COfloods. I'll keep fighting to get #CO all fed aid it needs. http://t.co/R7DeIRrU0e","COfloods CO"
"98","7/24/13",22:59:15,"MarkUdall","House vote on #NSA amendment = sign of growing #bipartisan support to reform #surveillance programs: http://t.co/PfA0hdJJzh #COpolitics","NSA bipartisan surveillance COpolitics"
"99","7/24/13",22:21:46,"MarkUdall","Inspiring @NASA pic of @MarsCuriosity &amp; its tracks taken by orbital camera built by Boulder’s @BallAerospace: http://t.co/l0j5fFoYeX",NA
"100","7/24/13",19:34:17,"MarkUdall","#Veterans who lost homes in #COwildfires shouldn’t be burned again by non-refundable VA loan fees: http://t.co/EXqTDVLdU4 #COpolitics","Veterans COwildfires COpolitics"
"101","6/5/13",23:09:01,"MarkUdall","100 Coloradans came to meet decision-makers &amp; bring #CO common sense to Washington, D.C. http://t.co/BYnvqYmC0q","CO"
"102","6/5/13",23:06:27,"MarkUdall","Special thanks to @SenBennetCO @RepPerlmutter @RepCoryGardner @RepTipton for agreeing to speak at #COCapConf. #COPols","COCapConf COPols"
"103","6/5/13",23:05:34,"MarkUdall","It’s the place to be: The whole #CO delegation, @CUSystem &amp; @ColoradoMesaU kick off #COCapConf: http://t.co/TQwmKa7Zi2 #bipartisanship","CO COCapConf bipartisanship"
"104","6/5/13",20:31:56,"MarkUdall","Glad new #IRS leadership is working to be more accountable. Good 1st step but more needed: http://t.co/4K86jRpunP","IRS"
"105","6/5/13",17:43:10,"MarkUdall","154,128 #CO students receive #StaffordLoans. Congress must act NOW to keep student loan rates low &amp; college affordable. #DontDoubleMyRate","CO StaffordLoans DontDoubleMyRate"
"106","4/19/13",19:41:48,"MarkUdall","The #Senate recently voted on gun legislation. I will keep fighting for #CO families &amp; values. READ: http://t.co/DkwPw0H9ce","Senate CO"
"107","3/11/13",15:09:08,"MarkUdall","Happy to celebrate Colorado Nonprofit Week! It’s a great time to learn about how @CO_Nonprofits are strengthening #CO communities.","CO"
"108","12/12/12",21:53:24,"MarkUdall","RT if you agree the #House #GOP must extend the #PTC ASAP &amp; fight for true energy security &amp; #COjobs.","House GOP PTC COjobs"
"109","12/12/12",21:51:56,"MarkUdall","Glad to have @RepPerlmutter join me in my fight for #WindJobsNow &amp; #COjobs. We need to extend the #PTC ASAP: http://t.co/ApKenHsD","WindJobsNow COjobs PTC"
"110","12/12/12",19:17:33,"MarkUdall","I join @WhiteHouse @StateDept &amp; int’l community in condemning #NorthKorea, which cont. to choose isolation &amp; sanctions over progress.","NorthKorea"
"111","12/12/12",19:15:24,"MarkUdall","W/ ill-advised rocket launch, #NorthKorea continues to choose defiance of the #international community over the needs of its citizens.","NorthKorea international"
"112","12/12/12",18:35:23,"MarkUdall","New #EPA Good Samaritan policy is great news for communities living near mines, like one I visited in SW #CO: http://t.co/fijK8tR9","EPA CO"
"113","12/12/12",18:34:23,"MarkUdall","Thank you to @EPAgov &amp; @LisaPJackson for standing w/ me &amp; Good Samaritans like @TroutUnlimited to get this done. #copolitics","copolitics"
"114","12/12/12",18:33:56,"MarkUdall","My work to give Good Samaritans added protections as they clean #CO mine sites succeeded today w/ new @EPAgov policy: http://t.co/48dQAR5b","CO"
"115","12/12/12",17:24:34,"MarkUdall","In #ME &amp; #CO the #PTC = #jobs. Join me in trying to save #WindJobsNow  http://t.co/FfCpciMe","ME CO PTC jobs WindJobsNow"
"116","12/12/12",17:24:25,"MarkUdall","To #ME, the #PTC means keeping rural communities independent &amp; cities green. Extend the #PTC ASAP","ME PTC PTC"
"117","9/25/12",21:27:05,"MarkUdall",".@JesperFrant Sure! Here you go: http://t.co/p1Ft62P6 #DADTrepeal — STAFF","DADTrepeal"
"118","9/25/12",18:00:33,"MarkUdall","In defense of our country – honor, integrity &amp; courage are what truly matters. READ: http://t.co/wqoTVsob #DADTrepeal","DADTrepeal"
"119","9/25/12",15:58:18,"MarkUdall","#Sequestration can be avoided, but only if #Congress pursues a #bipartisan solution. Read my @csgazette op-ed: http://t.co/R4vRTabE","Sequestration Congress bipartisan"
"120","9/25/12",14:46:51,"MarkUdall",".@BarackObama is right: The U.S. will do what it must to prevent a nuclear Iran that would destabilize #MiddleEast &amp; threaten our allies.","MiddleEast"
"121","8/3/12",19:46:41,"MarkUdall","#CO is so proud of the record-breaking @FranklinMissy, #GOLD number 3 in 200 backstroke! #GOUSA #London2012","CO GOLD GOUSA London2012"
"122","8/3/12",17:12:18,"MarkUdall","Congrats to Rebekka McCaleb of #Sterling who is headed to #DC for @FEMA discussion of #US’s #disaster resiliency: http://t.co/QYrOUjlE","Sterling DC US disaster"
"123","8/3/12",15:51:31,"MarkUdall","Congrats to @ussoccer_wnt on their 2-0 win against #NewZealand. Can’t wait to see how they do in the semifinals! #GOUSA #London2012","NewZealand GOUSA London2012"
"124","8/3/12",14:47:50,"MarkUdall","Congrats to #CO’s Sierra Nevada Space Systems for working w/ @NASA to create #COjobs &amp; keep #US No. 1 in #aerospace: http://t.co/4ghHJQzx","CO COjobs US aerospace"
"125","7/18/12",20:25:21,"MarkUdall","NEW BLOG: Congrats to the 40 talented athletes #CO is sending to #London2012. Go #TeamUSA! http://t.co/9Z5ZD7uc #Olympics","CO London2012 TeamUSA Olympics"
"126","7/18/12",17:40:47,"MarkUdall","#Ohio’s onshore wind resources could provide 95% of state’s current electricity needs. Pass the #PTC for #WindJobsNow: http://t.co/FfCpciMe","Ohio PTC WindJobsNow"
"127","7/18/12",17:40:06,"MarkUdall","#Ohio is 4th in wind industry employment. We can’t afford to lose these American #jobs. Extend the wind #PTC. SPEECH: http://t.co/6f1j0aWT","Ohio jobs PTC"
"128","7/18/12",13:51:56,"MarkUdall","Headed down to the #Senate floor to give 10th speech on #PTC about #windenergy #jobs in #Ohio. Watch live on CSPAN2 at http://t.co/ZZQfEJ1W","Senate PTC windenergy jobs Ohio"
"129","5/18/12",21:44:18,"MarkUdall","Congrats to @ColoYouthCorps recipients of @USDA grants. Will employ over 100 young Coloradans this summer! http://t.co/JdhIlOp3",NA
"130","7/14/15",15:43:32,"SenChrisDodd",".@KateNocera still shaking it off today but nothing better than 5 hours with my daughters @taylorswift13 #1989TourDC http://t.co/O8Bx9FSejo","1989TourDC"
"131","4/1/09",16:36:55,"SenChrisDodd","Just wanted to say thank you to MLN for hosting my live chat this morning. Really enjoyed it and look forward to doing this again.",NA
"132","4/1/09",13:18:43,"SenChrisDodd","Congratulations to the UConn Women Basketball team for advancing to the Final Four for the second year in a row!",NA
"133","3/27/09",23:01:36,"SenChrisDodd","@clairecmc It's a deal. GO HUSKIES!!",NA
"134","3/27/09",22:32:05,"SenChrisDodd","@clairecmc I'll put up some New Haven apizza for you and your staff that UConn comes out on top.",NA
"135","3/27/09",22:31:35,"SenChrisDodd","@clairecmc How about a friendly wager on tomorrow's Elite Eight game between my Huskies and your Tigers?",NA
"136","3/27/09",21:23:17,"SenChrisDodd","Looking forward to a great game against @clairecmc 's Tigers tomorrow. Here is hoping my UConn Huskies come out on top!",NA
"137","3/27/09",17:38:07,"SenChrisDodd","Happy to see that the US Mint has introduced the first coin with readable Braille. http://tinyurl.com/cljlhs",NA
"138","8/3/12",17:22:07,"TomCarperforDE","Come November, there is only one clear choice - the candidate who has a plan to protect the middle class. http://t.co/JMeJcLxn #NetDE","NetDE"
"139","8/3/12",17:12:07,"TomCarperforDE","#FF @RueMarkell @webackjack @Matt_Denn @nicolepoore12 @John_Carney @ADGemmell @falgo23","FF"
"140","8/3/12",14:01:17,"TomCarperforDE","This @Spotify playlist gives you a little peek into what I'm listening to on my iPod. #netDE ♫ Tom Carper http://t.co/M9S1ksc7 #Spotify","netDE Spotify"
"141","7/18/12",12:01:01,"TomCarperforDE","Happy Birthday Senator @MarkUdall!",NA
"142","5/18/12",16:01:42,"TomCarperforDE","Joining @DEDOgov at 1st State Community Loan Fund Annual Lunch to recognize their hard work &amp; dedication to #Delaware. #NetDE","Delaware NetDE"
"143","5/18/12",14:33:56,"TomCarperforDE","#DHIN is the lubrication to the health care system and to lowering costs. #netde","DHIN netde"
"144","5/18/12",14:18:38,"TomCarperforDE","What we're really trying to do is make a paradigm shift in the way we provide healthcare. #netde #dhin http://t.co/4QZ8hJfP","netde dhin"
"145","5/18/12",14:13:55,"TomCarperforDE","That which looks like a no brainer today didn't always look like a no brainer. Well said, @GovernorMarkell. #netde #DHIN","netde DHIN"
"146","5/18/12",13:01:46,"TomCarperforDE","Celebrating the 5th anniv. of #DHIN which improves patient care while lowering costs. #NetDE","DHIN NetDE"
"147","5/18/12",12:22:50,"TomCarperforDE","Ready, set, go! Be safe biking to work everyone. http://t.co/iCeFhPtu",NA
"148","5/18/12",12:18:19,"TomCarperforDE","One of the big pillars of our economy is tourism. If every other state can have a ntl park, we can share our history too. #netde","netde"
"149","5/18/12",12:16:57,"TomCarperforDE","At Bike-to-Work at Trabant Student Center! http://t.co/nBWSp1Uc",NA
"150","5/18/12",12:05:34,"TomCarperforDE","Getting ready for Bike-to-Work Event http://t.co/UOMMvyxo",NA
"151","5/18/12",12:01:10,"TomCarperforDE","Happy Birthday @SenatorTomUdall!",NA
"152","3/31/12",12:05:15,"TomCarperforDE","Happy Birthday @SenatorLeahy!",NA
"153","3/31/12",12:01:24,"TomCarperforDE","Happy Birthday @SenatorBegich!",NA
"154","3/31/12",11:30:30,"TomCarperforDE","Prayer Breakfast at Milford Senior Center with @ChrisCoons to honor the vision of a world brought together by faith. #NetDE","NetDE"
"155","2/23/16",22:01:11,"SenBillNelson","New documents show Takata employees routinely manipulated safety testing data. Here’s the report: https://t.co/R0awA9aUTW.",NA
"156","9/29/15",21:29:57,"SenBillNelson","Great meeting with Oscar-winning actor Denzel Washington today.  He’s a great advocate for @BGCA_Clubs. http://t.co/NFlUZVEA3c",NA
"157","4/1/14",19:36:43,"SenBillNelson","http://t.co/DGX6b5IRNW is new, improved and better-equipped to help constituents. Check it out (on your mobile device, too)!",NA
"158","4/19/13",20:47:13,"SenBillNelson","Sign our petition to hold Big Oil fully responsible for the cost of cleaning up any future spills: http://t.co/jNfW1ylvKu",NA
"159","4/19/13",16:32:10,"SenBillNelson","Oil companies should be held fully responsible for the cost of cleaning up spills. RT if you agree. http://t.co/xKOUGX4CoA",NA
"160","3/11/13",19:10:38,"SenBillNelson","Yoani Sanchez to meet with members of Congress next week and share her unique view of life inside Cuba: http://t.co/7diwAAuKFP",NA
"161","8/3/12",16:32:30,"SenBillNelson","We’re now ready to have U.S. companies develop the vehicles that will take astronauts to the space station. http://t.co/C0iOqKFQ",NA
"162","1/13/11",20:11:50,"SenBillNelson","A new poll’s been posted on my website where you can share your view of the president's speech last night.  http://billnelson.senate.gov/",NA
"163","1/12/11",19:38:50,"SenBillNelson","I think we have to end excessive speculation because it runs up the cost of oil and food. Regulators to discuss in a.m. http://bit.ly/fNFcBf",NA
"164","1/12/11",15:25:17,"SenBillNelson","Today we pray for Haiti and renew our commitment to helping our neighbor in need http://bit.ly/hPTKBw",NA
"165","12/12/12",21:45:06,"SenatorAkaka","Senator Akaka's farewell speech to the United States Senate: http://t.co/eF3RBXBu",NA
"166","12/12/12",16:01:33,"SenatorAkaka","Senator Akaka's remarks will be aired live on C-SPAN2 and Hawaii morning shows, or here: http://t.co/MmdPlx0P",NA
"167","12/12/12",16:01:03,"SenatorAkaka","Senator Akaka's aloha (farewell) speech on the Senate floor is set for today at 6:30 am Hawaii Time, 11:30 am Eastern.",NA
