Date,Time,R_or_D,screen_name,text,hashtags,Nominate_dim1,race,mentions_terror
7/8/16,15:17:16,R,TGowdySC,"Praying for the fallen officers, their families, and the entire law enforcement community following the unspeakably heinous attack #Dallas",Dallas,0.66,Black,0
6/12/16,17:44:55,R,RepJoeWilson,My thoughts and prayers are with the victims of the attack in #Orlando and their families.,Orlando,0.547,Other,0
6/13/16,21:06:37,R,DesJarlaisTN04,Instead of taking law abiding American's 2nd Amendment rights we should be focusing on preventing ISIS from radicalizing lone-wolf attackers,,0.594,Other,1
12/2/15,21:40:58,R,DesJarlaisTN04,My thoughts and prayers are with all those affected by the attack in San Bernardino.,,0.594,Other,0
7/8/16,13:40:48,R,RepChuck,"I'm heartbroken over the attack in #Dallas. My condolences go out to the officers shot in the line of duty, their families &amp; the community.",Dallas,0.474,Black,0
7/16/15,21:35:15,R,RepChuck,I'm deeply saddened by the loss of 4 Marines in the senseless attacks in Chattanooga. Please join me in praying for them and their families.,,0.474,Other,0
7/16/15,19:36:59,R,RepBrianBabin,Deeply saddened about today's shooting attack in Chattanooga. My prayers are with the victims and their families. http://t.co/ov9K2M2ws2,,0.713,Other,0
7/8/16,15:46:27,R,PeteSessions,Talking with @NBCDFW about #DallasPoliceShootings. Last night's attacks were devastating &amp; we must #BackTheBlue https://t.co/BuvS7akQ3x,DallasPoliceShootings BackTheBlue,0.586,Black,0
7/8/16,4:37:57,R,PeteSessions,About to join @TheWellsReport to discuss the ongoing active shooter situation in Dallas. Listen LIVE here: https://t.co/CriWu3bzHl,,0.586,Black,0
6/12/16,15:12:16,R,PeteSessions,My thoughts and prayers are with the people of Orlando and everyone who was impacted by last night's senseless attack.,,0.586,Other,0
9/17/13,21:26:50,R,JudgeCarter,Today I introduced the #FortHood Heroes Act to ensure the victims of the attack on #FtHood receive their due benefits http://t.co/8FQNZ42t3F,FortHood FtHood,0.467,Black,0
7/8/16,14:24:50,R,LamarSmithTX21,I am deeply saddened by the orchestrated attack on #Dallas police officers who devoted their lives to serving and protecting their community,Dallas,0.425,Black,0
7/16/15,21:07:12,R,RandyNeugebauer,"I’m deeply saddened to learn of the attack on our Marines in Chattanooga, Tennessee today. Dana and I are sending our thoughts and prayers.",,0.628,Other,0
6/12/16,16:42:52,R,MacTXPress,Thornberry statement on the attack in Orlando https://t.co/ZAvnQazkrs,,0.528,Other,1
7/8/16,17:30:20,R,RepMcCaul,The attack in #Dallas is horrific. My condolences are with the victims' families &amp; the people of Dallas: https://t.co/Lz8dzTMRyY,Dallas,0.449,Black,0
7/8/16,18:22:30,R,RepRatcliffe,"My prayers are with the family of Officer Brent Thompson of Royse City, who was killed in last night's attack: https://t.co/WTwve5kkMD",,0.746,Black,0
6/12/16,18:30:30,R,RepChrisStewart,My statement on the attack in #Orlando: #utpol https://t.co/5NtioFZ70w,Orlando utpol,0.518,Other,1
6/12/16,20:07:06,R,RepComstock,This is an attack on all civilized people.  We must stand united..against..terrorism. https://t.co/RDTiFfkOmv #VA10 https://t.co/xjc8udAOf1,VA10,0.275,Other,1
7/17/15,16:03:01,R,RepDaveBrat,My prayers go out to families &amp; loved ones of 4 Marines murdered &amp; 1 law enforcement officer wounded in attacks in Chattanooga yesterday.,,0.83,Other,0
1/9/11,21:44:15,R,RepMGriffith,"My continued thoughts and prayers go out to Congresswoman Giffords, her staff, and the other victims of yesterday's attack.",,0.544,White,0
7/16/15,20:31:02,R,RepRobertHurt,Praying for the families of our fallen Marines in Chattanooga - a tragic attack on those who sacrifice so much for our freedom.,,0.568,Other,0
1/8/11,21:05:15,R,davereichert,I am saddened to learn of today's vicious attack on @Rep_Giffords and others in Tucson this AM. They are all in our thoughts and prayers.,,0.223,White,0
7/8/16,20:52:14,R,RepGrothman,"Thinking of victims from the #Dallas attack, incl. police officer &amp; Fox Lake-native Gretchen Rocha who was injured. https://t.co/H1peXGTmyv",Dallas,0.608,Black,0
1/9/11,3:12:41,R,CynthiaLummis,"I am deeply saddened by the horrific attack on Rep. Giffords, her staff, Judge John Roll, & the residents of Arizona’s 8th district.",,0.675,White,0
1/8/11,21:10:29,R,CynthiaLummis,My thoughts and prayers go out to Rep. Giffords and all the victims of this unconscionable attack.,,0.675,White,0
12/3/15,15:03:46,R,SenDanSullivan,Praying for victims of despicable attack in San Bernardino &amp; for law enforcement professionals courageously working 2 protect the community.,,0.467,Other,0
7/17/16,15:03:46,R,SenShelby,Terrible news of another senseless attack on our nation's law enforcement coming out of #BatonRouge today. https://t.co/KfrbiRvlHL,BatonRouge,0.433,Black,0
7/8/16,15:03:46,R,SenShelby,"Praying for the victims, their families, &amp; the city of #Dallas. The attack on law enforcement who work to protect us every day is horrific.",Dallas,0.433,Black,0
7/8/16,15:03:46,R,George_LeMieux,"This horrific attack in Dallas, just weeks after Orlando, is devastating. #Sayfie",Sayfie,0.34,Black,0
6/12/16,15:03:46,R,George_LeMieux,Thoughts and prayers are with the victims and families of attack in Orlando. #Sayfie,Sayfie,0.34,Other,0
6/13/16,15:03:46,R,MikeCrapo,"""We will move forward bravely with compassion and ever-present vigilance.” My full statement on the #Orlando attack. https://t.co/05USthFyUM",Orlando,0.509,Other,0
6/12/16,15:03:46,R,SenatorKirk,The #Orlando terrorist attack reminds us of the threat ISIS poses &amp; the need for swift action to protect Americans. https://t.co/Vx5fp3kcf2,Orlando,0.274,Other,1
6/12/16,15:03:46,R,SenatorKirk,Sending thoughts &amp; prayers to #Orlando victims and their families. Thanks to the law enforcement officials who responded to this attack.,Orlando,0.274,Other,0
12/2/15,15:03:46,R,SenDanCoats,.@SenRubioPress discusses how Americans must not accept terrorist attacks as the new normal. https://t.co/A6qYpciul6 via @ABCNewsRadio,,0.375,Other,1
9/24/16,15:03:46,R,SenateMajLdr,"This unjustifiable attack is not just an attack on law enforcement, it is an attack on the very principles that bind us as a nation.",,0.404,Other,0
7/17/16,15:03:46,R,SenateMajLdr,Sen. Collins' statement on the #Orlando attack: https://t.co/Cgxf96uWg7,,0.404,Black,0
6/12/16,15:03:46,R,SenatorCollins,I am heartbroken by this horrific attack against law enforcement in #BatonRouge. #BackTheBlue protects our officers. https://t.co/knVRVeA0sw,Orlando,0.11,Other,0
7/18/16,15:03:46,R,SenThomTillis,"My prayers are with the victims of this horrific attack, and with their families.",BatonRouge BackTheBlue,0.426,Black,0
7/8/16,15:03:46,R,SenatorBurr,"I joined @FoxNews to discuss the Orlando attack. Investigators are in the process of discovering a digital footprint
https://t.co/1KXWJx1zR5",,0.453,Black,0
6/13/16,15:03:46,R,SenatorBurr,The flag over the Capitol is flying at half-staff today in memory of the victims of the horrific attack in Orlando. https://t.co/3MRuhbQHHP,,0.453,Other,0
6/13/16,15:03:46,R,SenatorBurr,Joining Fox News to discuss the #OrlandoAttack https://t.co/yFQputbebT,,0.453,Other,0
6/12/16,15:03:46,R,SenatorBurr,My thoughts and prayers are with the victims of this morning's horrific attack in Orlando and their loved ones.,OrlandoAttack,0.453,Other,0
6/12/16,15:03:46,R,SenatorBurr,Today's cowardly murder of #BatonRouge police is another senseless national tragedy. We all mourn their loss. Attacks on police must end.,,0.453,Other,0
7/17/16,15:03:46,R,SenatorLankford,"Kris &amp; I are heartsick to learn of yet another attack on law enforcement, this time the murder of police officers in #BatonRouge. 1/2",BatonRouge,0.57,Black,0
7/17/16,15:03:46,R,SenToomey,The disgusting attack in #Dallas has no possible justification. https://t.co/NFKZdyh5WQ,BatonRouge,0.631,Black,0
7/8/16,15:03:46,R,SenToomey,My heart goes out to the families and friends of the victims of today’s horrific attack in California.,Dallas,0.631,Black,0
12/2/15,15:03:46,R,SenatorRounds,,,0.393,Other,0
