Date,Time,R_or_D,Before_or_After_Shooting,screen_name,text,shooter_race,Mentions_terror
12/3/15,16:14:47,D,After,RepSteveIsrael,3rd day in row @HouseGOP votes to continue allowing suspected terrorists to legally buy #guns that could be used against Americans,Other,1
12/2/15,19:56:26,D,After,RepSteveIsrael,2nd day in row @HouseGOP blocks vote on bipartisan bill 2 prevent suspected terrorists from buying guns- playing politics w Americans safety,Other,1
12/2/15,18:46:37,D,After,RepSteveIsrael,Must read of the day: @HouseGOP blocks House debate on bill to stop suspected terrorists from buying guns → https://t.co/3lXblszSUG,Other,1
7/7/16,17:00:56,D,After,TimRyan,.@politico we're talking about preventing suspected terrorists from purchasing guns. It shouldn't be a difficult decision. #NoFlyNoBuy,Black,1
7/8/16,1:51:53,D,After,RepMarcyKaptur,"Today I tried 2 times to force vote on @RepPeterKing's #NoFlyNoBuy bill -- FBI’s terrorist list from buying guns.
 
https://t.co/5Gl2BJ0LcB",Black,1
12/3/15,22:25:56,D,After,RepMarcyKaptur,House Republican Leadership needs to stop blocking a vote to keep guns out of the hands of terrorists. My statement: https://t.co/g5WESXN9sy,Other,1
6/12/16,17:50:46,D,After,repjimcooper,Horrible news out of Orlando. We must be resolute against terrorism &amp; do more to keep guns out of the hands of maniacs who would do us harm.,Other,1
10/2/15,18:31:18,D,After,RepGwenMoore,.@POTUS to media: post numbers of those killed through terrorist attacks/gun violence. US news orgs have responded. http://t.co/SUfimKMDpz,White,1
9/27/12,6:00:00,D,After,FrankLautenberg,Must read: #GOP #NJ mayors support closing gun show loophole &amp; Terror Gap. Putting the safety of #NJ over #NRA agenda. http://t.co/eKze8lxc,White,1
6/13/16,6:00:00,D,After,SenatorReid,We have responsibility to do what we can to prevent gun violence. Let's start by closing loophole allowing terrorists to purchase weapons.,Other,1
12/3/15,6:00:00,D,After,SenatorReid,"If a suspected terrorist is trying to purchase a gun, the Republican response is ""maybe."" Our response is ""no!"" https://t.co/6hywgbgTKF",Other,1
12/3/15,6:00:00,D,After,SenatorReid,Republicans are offering an alternative amendment that doesn't keep terrorists from getting guns. https://t.co/lyNMN0ItwL,Other,1
12/3/15,6:00:00,D,After,SenJackReed,We face threats from terrorists &amp; mass-shootings. GOP should agree on need to prevent terrorist suspects on no-fly list from buying guns.,Other,1
6/5/13,19:40:57,R,Before,RepJoeWilson,Victims of #FortHood &amp; #LittleRock shootings should receive #PurpleHeart. Lives taken by terrorists deserve honor &amp; recognition #FY14NDAA,White,1
